mappedPoolId,mappedByUser,mappedByUserId,mappedDateText,mappedDateUnixSeconds,mappedLatitude,mappedLongitude,mappedConfidence,mappedSource,mappedSource2,mappedPhotoNumber,mappedLocationAccuracy,mappedShape,mappedComments,createdAt,updatedAt
KWN768,KNOWN,0,,-2209161600,43.71779268,-72.36774748,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN769,KNOWN,0,,-2209161600,43.71827915,-72.36685019,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN77,KNOWN,0,,-2209161600,42.901548,-72.56544694,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN770,KNOWN,0,,-2209161600,43.71765517,-72.36595537,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN771,KNOWN,0,,-2209161600,43.72197203,-72.37160414,UNK,Norwich_VP.shp,OTHER, ,UNK,Point,East of ridge,,
KWN772,KNOWN,0,,-2209161600,43.72492384,-72.37292747,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN773,KNOWN,0,,-2209161600,43.72492231,-72.37352049,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN774,KNOWN,0,,-2209161600,43.72533223,-72.3742896,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN775,KNOWN,0,,-2209161600,43.72667631,-72.36780263,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN776,KNOWN,0,,-2209161600,43.72540388,-72.36825359,UNK,Norwich_VP.shp,OTHER, ,UNK,Point,By bend in trail to south,,
KWN777,KNOWN,0,,-2209161600,43.72324554,-72.36392663,UNK,Norwich_VP.shp,OTHER, ,UNK,Point,Under spruce,,
KWN778,KNOWN,0,,-2209161600,43.72466904,-72.3651928,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN779,KNOWN,0,,-2209161600,43.72282027,-72.36211101,UNK,Norwich_VP.shp,OTHER, ,UNK,Point,West of west brook fork,,
KWN78,KNOWN,0,,-2209161600,42.91385714,-72.60423595,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN780,KNOWN,0,,-2209161600,43.7288438,-72.36847014,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN781,KNOWN,0,,-2209161600,43.75397136,-72.34827404,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN782,KNOWN,0,,-2209161600,43.75283172,-72.348156,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN783,KNOWN,0,,-2209161600,43.70689917,-72.33384784,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN784,KNOWN,0,,-2209161600,43.70790538,-72.33138606,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN785,KNOWN,0,,-2209161600,43.70665407,-72.33163963,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN786,KNOWN,0,,-2209161600,43.70762972,-72.33308728,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN787,KNOWN,0,,-2209161600,43.70668978,-72.33082981,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN788,KNOWN,0,,-2209161600,43.70682495,-72.32851513,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN789,KNOWN,0,,-2209161600,43.7073178,-72.32849249,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN79,KNOWN,0,,-2209161600,42.90610325,-72.55872808,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN790,KNOWN,0,,-2209161600,43.74880777,-72.31787474,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN791,KNOWN,0,,-2209161600,43.75275732,-72.31621309,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN792,KNOWN,0,,-2209161600,43.73621635,-72.31588253,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN793,KNOWN,0,,-2209161600,43.71529871,-72.34867712,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN794,KNOWN,0,,-2209161600,43.71175598,-72.33746805,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN795,KNOWN,0,,-2209161600,43.77795439,-72.35542339,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN796,KNOWN,0,,-2209161600,43.7514887,-72.35080814,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN797,KNOWN,0,,-2209161600,43.75338335,-72.34863444,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN798,KNOWN,0,,-2209161600,43.75381786,-72.34923169,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN799,KNOWN,0,,-2209161600,43.71717114,-72.36768386,UNK,Norwich_VP.shp,OTHER, ,UNK,Point, ,,
KWN8,KNOWN,0,,-2209161600,43.6325,-72.53722,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN80,KNOWN,0,,-2209161600,42.95487315,-72.58878777,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN800,KNOWN,0,,-2209161600,44.51288282,-73.02101392,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"On summit of knoll, looks like nice pool",,
KWN801,KNOWN,0,,-2209161600,44.51998377,-73.00730237,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"Long, thin pool on bench, may have outlet to nor*",,
KWN802,KNOWN,0,,-2209161600,44.52521134,-73.01670423,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"May not be pool, needs field verification",,
KWN803,KNOWN,0,,-2209161600,44.53972383,-72.99457379,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"On knoll under mixed forest, looks like large po*",,
KWN804,KNOWN,0,,-2209161600,44.54494848,-72.99284667,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"Small pool, may be located north of point",,
KWN805,KNOWN,0,,-2209161600,44.55204132,-72.99155656,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"In small saddle, search area, location uncertain",,
KWN806,KNOWN,0,,-2209161600,44.56194103,-73.04920661,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"On bench, may not be pool, needs field verificat*",,
KWN807,KNOWN,0,,-2209161600,44.52866458,-73.08748504,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"In Hardwood stand, many more in area",,
KWN808,KNOWN,0,,-2209161600,44.52882315,-73.08851761,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,On edge of conifer and hardwoods,,
KWN809,KNOWN,0,,-2209161600,44.52766954,-73.0863459,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point, ,,
KWN81,KNOWN,0,,-2209161600,42.95826627,-72.62386716,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN810,KNOWN,0,,-2209161600,44.52981017,-73.08893668,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point, ,,
KWN811,KNOWN,0,,-2209161600,44.53008994,-73.08803124,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point, ,,
KWN812,KNOWN,0,,-2209161600,44.52536402,-73.08610509,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,May not be there or may be seepage,,
KWN813,KNOWN,0,,-2209161600,44.53291938,-73.09006095,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,Above swamp,,
KWN814,KNOWN,0,,-2209161600,44.53729473,-73.09072945,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point, ,,
KWN815,KNOWN,0,,-2209161600,44.54825526,-73.09212754,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"Really a small wetland, but great vernal pool ha*",,
KWN816,KNOWN,0,,-2209161600,44.55274451,-73.08717335,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,Long thin N to S running pool,,
KWN817,KNOWN,0,,-2209161600,44.55524396,-73.0916916,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"Long thin, N to S running pool, looks fairly lar*",,
KWN818,KNOWN,0,,-2209161600,44.53595429,-73.00520288,UNK,AE_Vernal_Pool_Essex.shp,Remote CIR, ,UNK,Point,"Small pool, area somwhat disturbed, but looks li*",,
KWN819,KNOWN,0,,-2209161600,43.459821,-72.75881975,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Three pools connected at high water, some distur*",,
KWN82,KNOWN,0,,-2209161600,42.92373197,-72.55690002,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN820,KNOWN,0,,-2209161600,43.46026516,-72.75820031,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Nice large pool, impacted from logging, very pro*",,
KWN821,KNOWN,0,,-2209161600,43.46039261,-72.76002771,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Crescent shaped pool south of Ninevah, fairly pr*",,
KWN822,KNOWN,0,,-2209161600,43.46090565,-72.76156637,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Nearby road, fairly productive pool",,
KWN823,KNOWN,0,,-2209161600,43.42977809,-72.84009157,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"On high bench, some impact from nearby logging, *",,
KWN824,KNOWN,0,,-2209161600,43.40053771,-72.86500734,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Dry at time of visit, likely only good in very w*",,
KWN825,KNOWN,0,,-2209161600,43.39867067,-72.85548081,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Nice large pool, clear deep water, undisturbed",,
KWN826,KNOWN,0,,-2209161600,43.39596274,-72.85926313,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"On narrow bench below steep slopes, nice pool",,
KWN827,KNOWN,0,,-2209161600,43.42932527,-72.76004888,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"On bench, along forest road, may be impacted by *",,
KWN828,KNOWN,0,,-2209161600,43.42924576,-72.75958533,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Nice pool, small but very deep, along forest road",,
KWN829,KNOWN,0,,-2209161600,43.43780993,-72.77552176,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Nice looking pool, though needs to be assessed i*",,
KWN83,KNOWN,0,,-2209161600,42.93890096,-72.57490636,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN830,KNOWN,0,,-2209161600,43.43865981,-72.77528532,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Two connected pools, look like nice sites, need *",,
KWN831,KNOWN,0,,-2209161600,43.47928766,-72.84233566,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"May be shadow, along forest road or powerline",,
KWN832,KNOWN,0,,-2209161600,43.47258301,-72.84091345,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"May be shadow, in hardwood forest, may have outl*",,
KWN833,KNOWN,0,,-2209161600,43.47964958,-72.81217072,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Under conifer and hardwood mix, needs verificati*",,
KWN834,KNOWN,0,,-2209161600,43.47960697,-72.81310551,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Under conifer and hardwood mix, needs field veri*",,
KWN835,KNOWN,0,,-2209161600,43.46121902,-72.75312358,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Open water, may be wetland",,
KWN836,KNOWN,0,,-2209161600,43.46696692,-72.74912139,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Looks like a nice pool on bench above Ninevah, l*",,
KWN837,KNOWN,0,,-2209161600,43.46698936,-72.74745665,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,May have outlet that feeds seepage forest to the*,,
KWN838,KNOWN,0,,-2209161600,43.46123088,-72.7591702,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,Pool just south of Ninevah wetlands,,
KWN839,KNOWN,0,,-2209161600,43.46973374,-72.73197621,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"May be out of town boundary, on summit of Tiny M*",,
KWN84,KNOWN,0,,-2209161600,42.92388205,-72.58906196,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN840,KNOWN,0,,-2209161600,43.45407128,-72.72686738,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,On bench,,
KWN841,KNOWN,0,,-2209161600,43.44567543,-72.73656294,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"On summit of Swayer Rocks, looks like nice pool *",,
KWN842,KNOWN,0,,-2209161600,43.43013183,-72.84227034,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Long, thin pool with wood frog eggs",,
KWN843,KNOWN,0,,-2209161600,43.43079045,-72.84499948,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Long, thin pool above fields, looks like nice po*",,
KWN844,KNOWN,0,,-2209161600,43.43246732,-72.84557295,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Under a mixed canopy, near other pools, smaller *",,
KWN845,KNOWN,0,,-2209161600,43.44076391,-72.81103303,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Small site, needs field verfication",,
KWN846,KNOWN,0,,-2209161600,43.40284701,-72.79879289,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,On bench below slope,,
KWN847,KNOWN,0,,-2209161600,43.39646624,-72.75787755,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"In small saddle, looks like nice pool",,
KWN848,KNOWN,0,,-2209161600,43.36726731,-72.77190159,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,In high saddle south of South Mtn.  Looks like n*,,
KWN849,KNOWN,0,,-2209161600,43.42512043,-72.76001235,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"On bench, has outlet to the East, open water pre*",,
KWN85,KNOWN,0,,-2209161600,42.92606885,-72.58605296,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN850,KNOWN,0,,-2209161600,43.46465596,-72.79492119,UNK,"AE_Vernal_Pool051509, MtHolly",Remote CIR, ,UNK,Point,"Pool near road, discovered during drive-by, need*",,
KWN851,KNOWN,0,,-2209161600,43.94234226,-72.19377878,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,Small pool below seepage wetland,,
KWN852,KNOWN,0,,-2209161600,43.94340113,-72.18974041,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Very nice pool, looks very productive",,
KWN853,KNOWN,0,,-2209161600,43.89878925,-72.23905655,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,Nice pool near forested swamp,,
KWN854,KNOWN,0,,-2209161600,43.92106649,-72.25183706,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Small pool, looks like only marginally wet",,
KWN855,KNOWN,0,,-2209161600,43.95093469,-72.19560247,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Headwaters of stream, may be seep or may be VP, *",,
KWN856,KNOWN,0,,-2209161600,43.94546632,-72.18789111,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Probably old skidder trail or landing, but looks*",,
KWN857,KNOWN,0,,-2209161600,43.9483297,-72.19661369,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Two pools on bench, may be shadows",,
KWN858,KNOWN,0,,-2209161600,43.94841305,-72.19612392,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Two pools on bench, may be shadows",,
KWN859,KNOWN,0,,-2209161600,43.98339456,-72.21381588,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Either seep or vernal pool, in saddle",,
KWN86,KNOWN,0,,-2209161600,42.92399458,-72.5842553,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN860,KNOWN,0,,-2209161600,43.97790709,-72.20572495,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Probably not a pool, but check if in area, topo *",,
KWN861,KNOWN,0,,-2209161600,43.9848299,-72.23424726,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Class II wetland in saddle, looks like open wate*",,
KWN862,KNOWN,0,,-2209161600,43.90941825,-72.24529677,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Looks like wet break in conifer canopy, needs fi*",,
KWN863,KNOWN,0,,-2209161600,43.90730203,-72.24540993,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,Looks like nice pool on knoll,,
KWN864,KNOWN,0,,-2209161600,43.90976394,-72.24845784,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"In conifer forest, on small knoll",,
KWN865,KNOWN,0,,-2209161600,43.90895803,-72.24760727,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Needs field verification, alos just in gully to *",,
KWN866,KNOWN,0,,-2209161600,43.91420228,-72.26750646,UNK,"VernalPool.shp,WestFairlee",Remote CIR, ,UNK,Point,"Looks like large VP or small wetland, on bench, *",,
KWN867,KNOWN,0,,-2209161600,43.64609676,-72.45787186,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,May be seepage,,
KWN868,KNOWN,0,,-2209161600,43.66799664,-72.42743308,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"May be seepage, surrounded by housing",,
KWN869,KNOWN,0,,-2209161600,43.67912559,-72.40971286,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,May be seepage,,
KWN87,KNOWN,0,,-2209161600,42.91575661,-72.58614785,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN870,KNOWN,0,,-2209161600,43.67818729,-72.41477672,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Two very small wet areas,,
KWN871,KNOWN,0,,-2209161600,43.67951971,-72.43855486,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Wet area with road to it?,,
KWN872,KNOWN,0,,-2209161600,43.68630546,-72.41307742,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Very small, long and thin, may be ditch from tra*",,
KWN873,KNOWN,0,,-2209161600,43.69735171,-72.41445865,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,May be seepage,,
KWN874,KNOWN,0,,-2209161600,43.69005611,-72.43253169,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"May not be wet, in conifers",,
KWN875,KNOWN,0,,-2209161600,43.64392714,-72.41077324,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Looks like small pool above river,,
KWN876,KNOWN,0,,-2209161600,43.63195994,-72.37646549,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,May have outlet to south,,
KWN877,KNOWN,0,,-2209161600,43.63013175,-72.37710562,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Smaller than one to north,,
KWN878,KNOWN,0,,-2209161600,43.64525178,-72.35903065,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Very small pool, may not be wet or functioning",,
KWN879,KNOWN,0,,-2209161600,43.70091665,-72.35463567,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Has inlet and outlet, may be seep",,
KWN88,KNOWN,0,,-2209161600,42.9562067,-72.62319334,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN880,KNOWN,0,,-2209161600,43.69973692,-72.35497297,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Has inlet and outlet, may be seep or small pond",,
KWN881,KNOWN,0,,-2209161600,43.69812116,-72.36058309,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Pond or open water in forested setting,,
KWN882,KNOWN,0,,-2209161600,43.70103617,-72.36179936,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Under conifers, may be shadow",,
KWN883,KNOWN,0,,-2209161600,43.67592704,-72.36628728,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Nice looking pool, may have outlet",,
KWN884,KNOWN,0,,-2209161600,43.67639573,-72.36656955,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"North of #17, smaller, long and thin",,
KWN885,KNOWN,0,,-2209161600,43.67552752,-72.36653999,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"South of #17 smaller, uncertain look in CIR",,
KWN886,KNOWN,0,,-2209161600,43.67603066,-72.36697957,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"Above #17, smaller",,
KWN887,KNOWN,0,,-2209161600,43.68071484,-72.36703195,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,May be shadow,,
KWN888,KNOWN,0,,-2209161600,43.69821427,-72.39561408,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,Looks like nice pool in saddle,,
KWN889,KNOWN,0,,-2209161600,43.70433608,-72.39220128,UNK,hartford_vp.shp,Remote CIR, ,UNK,Point,"May be seepage, may have outlet",,
KWN89,KNOWN,0,,-2209161600,42.95262601,-72.62477959,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN890,KNOWN,0,,-2209161600,44.23955862,-72.88101469,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very nice vernal pool, relatively isolated, very*",,
KWN891,KNOWN,0,,-2209161600,44.17190723,-72.84814936,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very productive pool, very nice habitat",,
KWN892,KNOWN,0,,-2209161600,44.17233693,-72.84575592,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Small wetland, may be former pond, good habitat",,
KWN893,KNOWN,0,,-2209161600,44.16448617,-72.85901428,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very nice pool, high quality habitat",,
KWN894,KNOWN,0,,-2209161600,44.16591755,-72.85738959,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very nice pool, high quality habitat",,
KWN895,KNOWN,0,,-2209161600,44.16659213,-72.85739366,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Nice pool, needs a re-visit to assess use by amp*",,
KWN896,KNOWN,0,,-2209161600,44.2147781,-72.75557695,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very nice pool, deep, very good habitat",,
KWN897,KNOWN,0,,-2209161600,44.21045233,-72.76351727,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Not very deep, but mucky in center, connected to*",,
KWN898,KNOWN,0,,-2209161600,44.17967386,-72.826792,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Very nice pool, needs spring confirmation",,
KWN899,KNOWN,0,,-2209161600,44.1778813,-72.8230606,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,Needs spring comfirmation of use,,
KWN9,KNOWN,0,,-2209161600,43.61722,-72.50667,UNK,BASS_thru2004_VPsites.shp,OTHER, ,UNK,Point, ,,
KWN90,KNOWN,0,,-2209161600,42.95164584,-72.59581808,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN900,KNOWN,0,,-2209161600,44.22227169,-72.82362479,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Identified at town meeting, not field verified",,
KWN901,KNOWN,0,,-2209161600,44.1938687,-72.84553469,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Identified at town meeting, not field verified",,
KWN902,KNOWN,0,,-2209161600,44.24706234,-72.87486408,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Open water area at headwaters, need to visit in *",,
KWN903,KNOWN,0,,-2209161600,44.16348456,-72.85781701,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Nice pool on edge of Hemlock swamp, may be semi-*",,
KWN904,KNOWN,0,,-2209161600,44.20871154,-72.76289004,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Part of larger seepy area, may be to small and s*",,
KWN905,KNOWN,0,,-2209161600,44.16434064,-72.85825447,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point, ,,
KWN906,KNOWN,0,,-2209161600,44.22885638,-72.8243662,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Bedrock controlled, need to check in spring to c*",,
KWN907,KNOWN,0,,-2209161600,44.17773975,-72.87017935,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Along road, exists on both sides, may be seepage*",,
KWN908,KNOWN,0,,-2209161600,44.19581331,-72.84105985,UNK,"Vernal Pools.shp, MRV NRI",Remote CIR, ,UNK,Point,"Small pool, but deep, need to check in spring fo*",,
KWN909,KNOWN,0,,-2209161600,44.15219643,-72.86466742,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,Searched for and did not find.  Should search ag*,,
KWN91,KNOWN,0,,-2209161600,42.95156107,-72.60885479,UNK,Dum_VP.shp  ; 2/2008,OTHER, ,UNK,Point, ,,
KWN910,KNOWN,0,,-2209161600,44.13021372,-72.86146746,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"Nice little pool on top of Double Top Mtn, needs*",,
KWN911,KNOWN,0,,-2209161600,44.1228051,-72.84082369,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"Visited in August, needs spring comfirmation of *",,
KWN912,KNOWN,0,,-2209161600,44.05991794,-72.8402242,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"Has outlet, may be seep, needs field verification",,
KWN913,KNOWN,0,,-2209161600,44.06247993,-72.83867875,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,Long thin pool on flat knoll,,
KWN914,KNOWN,0,,-2209161600,44.0598479,-72.82347807,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"A series of four pools on bench, nice looking si*",,
KWN915,KNOWN,0,,-2209161600,44.06011539,-72.82422413,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"A series of four pools on bench, nice looking si*",,
KWN916,KNOWN,0,,-2209161600,44.05978578,-72.82443462,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"A series of four pools on benches, this one the *",,
KWN917,KNOWN,0,,-2209161600,44.06012469,-72.82497512,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"A series of four pools on bench, nice looking si*",,
KWN918,KNOWN,0,,-2209161600,44.08378463,-72.80662023,UNK,Warren_VP3.shp,Remote CIR, ,UNK,Point,"Not very likely a vp, may be too ephemeral, on m*",,
